msku,quantity,date,marketplace
x002816em5,-1,2025-02-01,Amazon
x0027z4s1l,-1,2025-02-01,Amazon
x0027z05s1,-1,2025-02-01,Amazon
x0027z05qx,-1,2025-02-01,Amazon
x0027sindr,-1,2025-02-01,Amazon
x0027qard3,-1,2025-02-01,Amazon
x0027kykhn,-1,2025-02-01,Amazon
x0027kwarf,-1,2025-02-01,Amazon
x0027kwarf,-1,2025-02-01,Amazon
x0027kw4w1,-1,2025-02-01,Amazon
x0027dgazz,-1,2025-02-01,Amazon
x00279nlg5,-1,2025-02-01,Amazon
x00279nlg5,-1,2025-02-01,Amazon
x002739p9x,-1,2025-02-01,Amazon
x0026fx4q7,-1,2025-02-01,Amazon
x0026fx4q7,-1,2025-02-01,Amazon
x0026ex1ah,-1,2025-02-01,Amazon
x0026ewnth,-1,2025-02-01,Amazon
x0026cnfap,-1,2025-02-01,Amazon
x0025l96yb,-1,2025-02-01,Amazon
x0025l96yb,-1,2025-02-01,Amazon
x0024aau4d,-1,2025-02-01,Amazon
x0024aau4d,-1,2025-02-01,Amazon
x0024aau4d,-1,2025-02-01,Amazon
x0024aau4d,-1,2025-02-01,Amazon
x0024aau4d,-1,2025-02-01,Amazon
x0024aau4d,-1,2025-02-01,Amazon
x0024aau4d,-1,2025-02-01,Amazon
x0024a2eyh,-1,2025-02-01,Amazon
x0024a2eyh,-1,2025-02-01,Amazon
x0024a2eyh,-1,2025-02-01,Amazon
x0024a2eyh,-1,2025-02-01,Amazon
x0024a2evz,-1,2025-02-01,Amazon
x00219awv3,-1,2025-02-01,Amazon
x00219awut,-1,2025-02-01,Amazon
x00219awuj,-1,2025-02-01,Amazon
x001w7x2y9,-1,2025-02-01,Amazon
x001w7x2xz,-1,2025-02-01,Amazon
x001w7q435,-1,2025-02-01,Amazon
x001w7q435,-1,2025-02-01,Amazon
x001w7q1m9,-1,2025-02-01,Amazon
x001w7q1m9,-1,2025-02-01,Amazon
x001w7q1m9,-2,2025-02-01,Amazon
x001w7n0cx,-1,2025-02-01,Amazon
